,code_module,code_presentation,id_student,0,1,2,3,4,5,6,7,8,final_result
0,AAA,2013J,11391,93,93,35,3,82,41,58,128,303,Pass
1,AAA,2013J,28400,1,108,205,127,98,87,140,119,335,Pass
2,AAA,2013J,31604,121,194,160,244,208,266,161,326,309,Pass
3,AAA,2013J,32885,10,111,75,13,78,64,82,34,272,Pass
4,AAA,2013J,38053,114,560,224,195,81,211,56,277,450,Pass
5,AAA,2013J,45462,127,52,175,151,193,68,22,205,319,Pass
6,AAA,2013J,45642,29,248,137,99,136,127,60,183,388,Pass
7,AAA,2013J,52130,78,307,163,234,90,300,154,217,345,Pass
8,AAA,2013J,53025,129,213,182,442,538,437,448,211,382,Pass
9,AAA,2013J,57506,52,152,33,77,86,141,81,182,376,Pass
10,AAA,2013J,58873,93,130,174,157,178,191,90,246,314,Pass
11,AAA,2013J,59185,63,89,0,89,53,83,40,204,371,Pass
12,AAA,2013J,62155,125,638,42,389,289,346,511,413,384,Pass
13,AAA,2013J,63400,82,161,200,342,350,335,277,277,468,Pass
14,AAA,2013J,70464,19,16,122,175,56,114,31,115,310,Pass
15,AAA,2013J,71361,89,192,163,88,137,124,169,342,819,Pass
16,AAA,2013J,74372,0,6,0,26,3,5,0,37,28,Fail
17,AAA,2013J,75091,117,476,159,291,161,282,284,279,485,Pass
18,AAA,2013J,77367,13,84,6,44,60,73,10,97,226,Pass
19,AAA,2013J,91265,18,184,128,181,118,118,160,256,255,Pass
20,AAA,2013J,98094,32,66,152,336,425,194,111,427,619,Pass
21,AAA,2013J,100893,49,130,48,56,5,68,46,209,106,Pass
22,AAA,2013J,101781,69,382,467,472,308,285,259,465,1085,Pass
23,AAA,2013J,102806,115,189,255,202,92,177,77,294,416,Pass
24,AAA,2013J,102952,4,194,51,172,13,226,3,118,338,Pass
25,AAA,2013J,104476,53,784,416,834,653,343,170,279,701,Pass
26,AAA,2013J,106577,55,51,92,130,4,9,2,72,169,Pass
27,AAA,2013J,110175,10,83,196,118,115,11,88,175,164,Pass
28,AAA,2013J,111717,84,158,270,140,103,402,265,272,397,Pass
29,AAA,2013J,113295,124,407,383,265,280,239,339,551,962,Pass
30,AAA,2013J,114017,30,89,0,122,5,27,5,136,315,Pass
31,AAA,2013J,114999,25,219,91,115,132,71,126,236,201,Pass
32,AAA,2013J,116541,30,226,303,245,125,165,181,156,455,Pass
33,AAA,2013J,116692,0,45,46,94,59,123,108,115,193,Pass
34,AAA,2013J,118983,25,7,0,47,1,76,0,68,51,Pass
35,AAA,2013J,123044,18,181,90,174,243,232,98,412,590,Pass
36,AAA,2013J,127582,11,120,103,236,72,216,50,225,256,Pass
37,AAA,2013J,132976,13,118,27,98,13,94,0,11,102,Pass
38,AAA,2013J,134143,18,191,524,253,312,231,289,246,492,Distinction
39,AAA,2013J,137873,194,597,640,246,889,474,561,1008,678,Pass
40,AAA,2013J,141355,84,272,76,212,132,234,37,254,474,Pass
41,AAA,2013J,142326,156,326,126,280,302,201,202,125,261,Pass
42,AAA,2013J,144801,452,955,640,574,437,485,502,485,960,Pass
43,AAA,2013J,145130,26,69,1,65,15,1,19,37,181,Pass
44,AAA,2013J,146188,64,0,75,1,0,190,44,91,82,Fail
45,AAA,2013J,147756,0,2,27,52,54,39,11,44,293,Fail
46,AAA,2013J,151358,23,84,4,90,3,26,0,3,37,Pass
47,AAA,2013J,155550,284,197,49,69,20,325,10,116,366,Pass
48,AAA,2013J,155854,235,666,414,327,378,365,140,513,671,Pass
49,AAA,2013J,157568,47,45,222,235,73,184,68,167,300,Pass
50,AAA,2013J,164259,15,90,72,62,4,101,7,31,78,Pass
51,AAA,2013J,167906,71,243,28,211,107,168,46,237,263,Pass
52,AAA,2013J,168936,91,97,13,130,5,63,29,68,249,Pass
53,AAA,2013J,172112,338,345,265,212,105,168,147,68,242,Pass
54,AAA,2013J,172797,88,586,220,127,252,209,1,57,105,Pass
55,AAA,2013J,174782,288,805,663,665,680,566,533,555,1224,Pass
56,AAA,2013J,175392,139,421,227,319,504,560,358,527,906,Pass
57,AAA,2013J,175932,49,71,53,154,207,15,142,672,369,Pass
58,AAA,2013J,175991,17,3,0,6,1,10,0,7,92,Fail
59,AAA,2013J,180753,106,207,166,231,223,124,148,208,486,Pass
60,AAA,2013J,183096,61,256,184,226,74,145,106,248,419,Pass
61,AAA,2013J,183947,255,59,50,110,15,110,15,118,225,Pass
62,AAA,2013J,184271,22,41,162,109,137,116,91,270,266,Pass
63,AAA,2013J,185439,0,0,0,0,0,0,0,125,197,Fail
64,AAA,2013J,186149,110,34,109,219,261,85,361,106,402,Pass
65,AAA,2013J,187100,165,990,669,1079,984,649,533,994,1730,Distinction
66,AAA,2013J,189879,41,270,96,136,216,64,158,86,472,Pass
67,AAA,2013J,192183,143,322,339,705,264,253,181,336,528,Pass
68,AAA,2013J,200860,27,73,18,22,41,25,33,42,210,Pass
69,AAA,2013J,205350,33,179,119,123,91,143,56,255,413,Pass
70,AAA,2013J,205719,0,6,14,8,22,10,0,39,221,Fail
71,AAA,2013J,227499,62,60,86,365,654,206,211,358,595,Distinction
72,AAA,2013J,227517,15,45,22,68,18,179,50,231,437,Fail
73,AAA,2013J,228082,12,33,25,17,3,34,0,25,70,Pass
74,AAA,2013J,228222,27,5,74,54,13,49,60,94,69,Pass
75,AAA,2013J,229179,4,45,25,112,4,59,3,146,151,Pass
76,AAA,2013J,229361,5,192,95,235,177,84,61,190,144,Pass
77,AAA,2013J,231554,28,118,146,307,19,207,53,441,357,Pass
78,AAA,2013J,236284,8,391,11,68,6,57,1,36,154,Pass
